City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Cedartown,US,34.0537,-85.255,50.2,83,54,5.32,broken clouds
128,Nelson Bay,AU,-32.7167,152.15,67.08,95,100,4.0,light rain
129,Jand,PK,33.4299,72.0193,57.42,31,0,3.96,clear sky
130,Pedernales,DO,18.0384,-71.744,78.51,73,6,0.63,clear sky
131,Fortuna,US,40.5982,-124.1573,54.09,70,1,0.0,clear sky
132,Ledyard,US,41.4398,-72.0142,45.1,66,1,13.8,clear sky
133,Yulara,AU,-25.2406,130.9889,75.04,50,15,12.66,few clouds
134,Ribeira Grande,PT,38.5167,-28.7,64.81,80,100,30.67,overcast clouds
135,Hermanus,ZA,-34.4187,19.2345,62.91,78,95,18.68,overcast clouds
136,Nouadhibou,MR,20.931,-17.0347,73.38,64,100,11.5,overcast clouds
137,Port Elizabeth,ZA,-33.918,25.5701,65.1,77,90,16.11,overcast clouds
138,Leopold,AU,-38.1833,144.4667,65.98,55,90,4.0,overcast clouds
139,Takoradi,GH,4.8845,-1.7554,79.47,87,9,7.45,clear sky
140,Port Alfred,ZA,-33.5906,26.891,63.75,86,99,18.21,overcast clouds
141,Shimoda,JP,34.6667,138.95,62.71,75,100,10.31,overcast clouds
142,Hithadhoo,MV,-0.6,73.0833,79.25,86,100,14.97,light rain
143,Puerto Madryn,AR,-42.7692,-65.0385,70.74,40,100,25.5,overcast clouds
144,San Gabriel,US,34.0961,-118.1058,68.27,71,1,5.75,haze
145,Bud,US,39.447,-86.1758,42.24,79,91,5.75,overcast clouds
146,Talnakh,RU,69.4865,88.3972,-20.99,92,19,9.4,few clouds
147,Mount Gambier,AU,-37.8333,140.7667,64.31,52,40,13.8,scattered clouds
148,Carnarvon,AU,-24.8667,113.6333,69.87,88,90,10.36,light rain
149,Ust-Karsk,RU,52.7011,118.8077,13.93,84,100,2.86,overcast clouds
150,Atar,MR,20.5169,-13.0499,82.22,22,99,4.41,overcast clouds
151,Pochutla,MX,15.7432,-96.4661,82.22,89,2,4.07,clear sky
152,Necochea,AR,-38.5473,-58.7368,66.04,62,100,18.81,light rain
153,Teguldet,RU,57.3064,88.1667,16.59,93,100,9.91,light snow
154,Nesna,NO,66.1967,13.0213,35.67,65,9,15.17,clear sky
155,Eloy,US,32.7559,-111.5548,72.54,21,100,5.93,overcast clouds
156,Tasiilaq,GL,65.6145,-37.6368,28.56,95,100,15.14,snow
157,Dingle,PH,10.9995,122.6711,85.28,75,76,5.46,broken clouds
158,Champasak,LA,14.75,106.0,79.68,64,10,1.01,clear sky
159,Torbay,CA,47.6666,-52.7314,37.27,86,20,13.8,few clouds
160,Alice Springs,AU,-23.7,133.8833,76.55,53,75,17.27,broken clouds
161,Dyersburg,US,36.0345,-89.3856,53.74,50,1,5.75,clear sky
162,Vao,NC,-22.6667,167.4833,73.26,77,12,11.21,few clouds
163,Hamilton,US,39.1834,-84.5333,47.43,68,1,1.01,clear sky
164,Usinsk,RU,65.9939,57.5281,16.63,96,100,9.15,overcast clouds
165,Vostok,RU,46.4856,135.8833,24.73,73,78,2.48,broken clouds
166,Paraiso,CR,9.8383,-83.8656,65.95,94,59,3.24,broken clouds
167,Idrinskoye,RU,54.3708,92.1358,12.88,96,100,4.45,overcast clouds
168,Ponta Delgada,PT,37.7333,-25.6667,66.92,63,20,20.71,few clouds
169,Sinfra,CI,6.6167,-5.9167,74.57,92,49,2.82,scattered clouds
170,Praia,CV,14.9215,-23.5087,77.54,83,75,11.5,broken clouds
171,Ingham,US,42.6,-84.3833,39.31,85,75,4.61,broken clouds
172,Manuk Mangkaw,PH,4.8,119.85,83.19,74,42,1.83,scattered clouds
173,Cabatuan,PH,10.8794,122.486,85.35,72,63,6.46,broken clouds
174,Minsk,BY,53.9,27.5667,37.15,97,100,2.71,overcast clouds
175,Carutapera,BR,-1.195,-46.02,79.12,83,7,7.16,clear sky
176,Magadan,RU,59.5667,150.8,22.26,68,100,12.71,overcast clouds
177,Lakhimpur,IN,27.95,80.7667,62.44,53,1,7.63,clear sky
178,Ahipara,NZ,-35.1667,173.1667,72.68,65,63,10.07,broken clouds
179,Atuona,PF,-9.8,-139.0333,78.51,77,10,13.33,clear sky
180,Biltine,TD,14.5333,20.9167,73.49,23,0,16.96,clear sky
181,Gwadar,PK,25.1216,62.3254,71.8,28,3,11.14,clear sky
182,Riyadh,SA,24.6877,46.7219,66.34,39,20,4.34,few clouds
183,Lalmohan,BD,22.3384,90.7419,73.92,67,8,8.25,clear sky
184,Tessalit,ML,20.1986,1.0114,70.93,30,95,9.04,overcast clouds
185,Ust-Nera,RU,64.5667,143.2,-9.76,99,96,0.34,overcast clouds
186,Kaitangata,NZ,-46.2817,169.8464,58.73,67,100,7.23,moderate rain
187,Diffa,NE,13.3154,12.6113,75.0,30,0,9.42,clear sky
